,,old,,,,,,,,,,,,,new,,,,,,,,,,,
hera_arms_straight_pull_charging_handle,Hera Arms straight-pull,6,0.07,,,,,,,,,1000,4.6,,5,0.11,,,,,,,,,750,2.8
radian_weapons_raptor_ambi_ar15_charging_handle,Radian Weapons Raptor Ambidextrous,6,0.1,-1,,,-0.05,,,,,1000,5.05,,5,0.08,,,,,,,,,750,3.4
tc_enforcer_small_charging_handle,Timber Creek enforcer small,3,0.04,,,,,,,,,300,2.2,,2.5,0.02,,,,,,,,,300,2.1
tc_enforcer_charging_handle,Timber Creek Enforcer,5,0.06,,,,,,,,,300,3.8,,3.5,0.05,,,,,,,,,300,2.5
armaspec_victory_charging_handle,Armaspec Victory,3,0.04,,,,,,,,,500,2.2,,4,0.06,,,,,,,,,500,2.8
colt_m4a1_charging_handle,Colt M4 Standard,2,0.03,,,,,,,,,0,1.4,,2,0.03,,,,,,,,,0,1.4
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
colt_m4a1_std_trigger,M4 Standard,3.5,0.04,0,0,,-0.2,,,,,200,3.7,,2,0.04,0,0,,0,,,,,200,1.2
cmc_dropin_trigger,CMC drop-in,3,0.03,-1,-2,,0,,,,0.05,300,4.4,,3,0.03,-1,0,,-0.05,,,,0.03,300,3.45
psa_custom_trigger,PSA custom,3,0.02,-1,-1,,0,,,,0.05,400,4,,3.5,0.04,0,-1,,-0.05,,,,0.03,400,3.55
rise_blitz_trigger,Rise Armaments blitz,5,0.05,-2,-1,,-0.1,,,,0.07,1000,6.7,,4,0.05,-1,0,,-0.1,,,,0.05,1000,4.3
timney_trigger,Timney drop-in,3.5,0.02,0,1,,-0.15,,,,,400,3.25,,2.5,0.02,0,-1,,-0.15,,,,0.03,400,3.45
radian_weapons_ar15_flat_vertex_fb_trigger,Radian Weapons AR15 Flat Vertex FB Trigger,4,0.06,-1,-1,,-0.05,,,,,750,4.45,,3,0.06,-1,-1,,-0.1,,,,0,750,3.7
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
ews_bufferless_system_ar15_bcg,EWS Bufferless System AR15 Bolt Carrier Group,8,0.12,5,3,,,,,,,500,-0.2,,4,0.08,4,4,,,,,,,500,-3.2
radian_weapons_ar15_enhanced_bcg,Radian Weapons AR15 Enhanced Bolt Carrier Group,4,0.14,,,,,,,,,1000,1.2,,2,0.16,0,0,,,,,,,1000,-1.2
m4a1_556_bolt,Colt M4 Standard,,,,,,,,,,,0,0,,0,0.1,0,0,,,,,,,0,-2
fightlite_scr_rifle_bcg,Fightlite SCR Rifle Bolt Carrier Group,4,0.1,2,2,,,,,,,750,-0.8,,3,0.07,2,5,,,,,,,750,-3
