,,new,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,0.02,,
sig_sauer_romeo5_low_mount,Sig Sauer Romeo5 Low Mount,0,0.02,,,,,,,,,200,-0.4,,,0.02,,
aimpoint_amm_dovetail_11mm_mount,Aimpoint AMM Dovetail Groove 11mm Mount,0,0.02,,,,,,,,,200,-0.4,,,0.02,,
aimpoint_micro_lrp_qd_mount,Aimpoint Micro LRP QD Mount,0,0.03,,,,,,,,,300,-0.6,,,0.02,,
sig_sauer_romeo4_low,Sig Sauer Romeo4 Low,0,0.03,,,,,,,,,200,-0.6,,,0.02,,
sig_sauer_romeo4_mount,Sig Sauer Romeo4,-1,0.04,,,,,,,,,200,-1.8,,,0.02,,
sig_sauer_romeo4t_1/3_cowitness_mount,Sig Sauer Romeo4T Lower Hex Bolt 1/3 Co-witness,-0.5,0.05,,,,,,,,,300,-1.5,,,0.02,,
sig_sauer_romeo_cowitness_qd_mount,Sig Sauer Romeo Cowitness QD Mount,-0.5,0.05,,,,,,,,,400,-1.5,,,0.02,,
unity_fast_micro_mount,Unity Fast Micro,-1,0.06,,,,,,,,,500,-2.2,,3.5,0.0655,,
scalarworks_leap01_swo100_1.42_mount,Scalarworks Leap01 SWO 100 1.42 Mount,-1,0.04,,,,,,,,,500,-1.8,,,0.02,,
scalarworks_leap01_swo110_1.57_mount,Scalarworks Leap01 SWO 110 1.57 Mount,-1,0.04,,,,,,,,,550,-1.8,,,0.02,,
scalarworks_leap01_swo120_1.93_mount,Scalarworks Leap01 SWO 120 1.93 Mount,-1,0.05,,,,,,,,,600,-2,,,0.02,,
aimpoint_micro_spacer_high_39mm,Aimpoint Micro Spacer High 39mm,-0.5,0.03,,,,,,,,,200,-1.1,,,0.02,,
aimpoint_micro_spacer_low_30mm,Aimpoint Micro Spacer Low 30mm,-0.5,0.02,,,,,,,,,200,-0.9,,,0.02,,
sig_sauer_romeo4_sight,Sig Sauer Romeo4,-1,0.08,,,,,,,,,1000,-2.6,,,0.02,369.99,
sig_sauer_romeo4t_sight,Sig Sauer Romeo4T,-1,0.08,,,,,,,,,1100,-2.6,,7.6,0.1188,,
aimpoint_micro_t1_sight,Aimpoint Micro T1,-1,0.06,,,,,,,,,1200,-2.2,,,0.02,,
aimpoint_micro_t2_sight,Aimpoint Micro T2,-1,0.06,,,,,,,,,1300,-2.2,,3,0.059,896,
aimpoint_t2_cordura_fabric_wrap,Aimpoint Micro T-2 / H-2 Cordura Fabric Wrap,0,0.005,,,,,,,,,1000,-0.1,,,,,
aimpoint_compm5_sight,Aimpoint CompM5,-0.5,0.1,,,,,,,,,1400,-2.5,,5.2,0.0876,950,
sig_sauer_romeo5_1x20_sight,Sig Sauer Romeo5 1x20 Sight,-1,0.06,,,,,,,,,700,-2.2,,,0.02,125,
romeo4t_lens_caps,Romeo4T Lens,1,0.02,,,,,,,,,0,0.6,,,0.02,,
romeo4t_folded_lens_caps,Romeo4T Folded Lens,2,0.02,,,,,,,,,0,1.6,,,0.02,,
aimpoint_micro_t2_lens_caps,Aimpoint Micro T2 Lens Caps,1,0.01,,,,,,,,,0,0.8,,,0.02,,
aimpoint_compm5_lens_caps,Aimpoint CompM5 Lens Caps,1,0.01,,,,,,,,,0,0.8,,,0.02,,
,,,,,,,,,,,,,0,,,0.02,,
bt_qd_nar_acro_22mm_mount,B&T QD NAR ACRO 22m Mount,0,0.03,,,,,,,,,500,-0.6,,,0.02,,
bt_qd_nar_acro_30mm_mount,B&T QD NAR ACRO 30m Mount,-0.5,0.04,,,,,,,,,550,-1.3,,,0.02,,
bt_qd_nar_acro_39mm_mount,B&T QD NAR ACRO 39m Mount,-0.5,0.05,,,,,,,,,600,-1.5,,,0.02,,
aimpoint_acro_p2_reflex_sight,Aimpoint ACRO P-2 Reflex,-1,0.05,,,,,,,,,1200,-2,,2.1,0.0473,599,
,,,,,,,,,,,,,0,,,0.02,,
eotech_553_holo_sight,Eotech 553,-2,0.18,,,,,,,,,1400,-5.6,,12.3,0.1799,659,
eotech_552_holo_sight,Eotech 552,-2,0.17,,,,,,,,,1300,-5.4,,11.5,0.1695,601,
eotech_512_holo_sight,Eotech 512,-1,0.17,,,,,,,,,1100,-4.4,,11.5,0.1695,,
eotech_xps3_holo_sight,Eotech XPS3,-2,0.14,,,,,,,,,1800,-4.8,,9,0.137,649,
eotech_xps2_holo_sight,Eotech XPS2,-1,0.14,,,,,,,,,1600,-3.8,,,0.02,,
eotech_xps2_green_holo_sight,Eotech XPS2 Green Holo Sight,-1,0.14,,,,,,,,,1700,-3.8,,,0.02,,
eotech_xps2z_zombie_stopper_holo_sight,Eotech XPS2Z Zombie Stopper Holo Sight,-1,0.14,,,,,,,,,2000,-3.8,,,0.02,,
eotech_exps3_mount,Eotech EXPS3 Mount,0,0.03,,,,,,,,,300,-0.6,,,0.02,,
eotech_exps2_mount,Eotech EXPS2 Mount,0,0.03,,,,,,,,,300,-0.6,,,0.02,,
eotech_exps3_holo_sight,Eotech EXPS-3,-2,0.12,,,,,,,,,1700,-4.4,,11.2,0.1656,,
eotech_exps2_holo_sight,Eotech EXPS-2,-1,0.12,,,,,,,,,1500,-3.4,,,0.02,,
eotech_exps2_green_holo_sight,Eotech EXPS2 Green Holo Sight,-1,0.12,,,,,,,,,1600,-3.4,,,0.02,,
eotech_exps3_hood,Eotech EXPS 3 Hood,0,0,,,,,,,,,0,0,,,0.02,,
eotech_exps2_hood,Eotech EXPS 2 Hood,0,0,,,,,,,,,0,0,,,0.02,,
eotech_exps2_green_hood,Eotech EXPS2 Green Hood,0,0,,,,,,,,,0,0,,,0.02,,
eotech_553_hood,Eotech 553 Hood,0,0,,,,,,,,,0,0,,,0.02,,
,,,,,,,,,,,,,0,,,0.02,,
trijicon_rx14_mount,Trijicon RX14,0,0.04,,,,,,,,,200,-0.8,,,0.02,,
trijicon_rx01/06_series_1x24_reflex_sight,Trijicon RX01/06 Series 1x24 Reflex,-2,0.08,,,,,,,,,900,-3.6,,4.2,0.0746,,
trijicon_rx01/06_series_1x24_reflex_sight_ch,Trijicon RX01/06 Series 1x24 Reflex,-2,0.08,,,,,,,,,900,-3.6,,,0.02,,
,,,,,,,,,,,,,0,,,0.02,,
aimpoint_30mm_low_ring,Aimpoint 30mm Low Ring,-0.5,0.03,,,,,,,,,200,-1.1,,,0.02,,
qrp_30mm_mount,QRP 30mm,-1,0.06,,,,,,,,,300,-2.2,,,0.02,,
comp_m2,CompM2,-2,0.11,,,,,,,,,800,-4.2,,7.1,0.1123,,
,,,,,,,,,,,,,0,,,0.02,,
zenit_belomo_picatinny_mount_pkas,Zenit-BelOMO PK-AS,0,0.05,,,,,,,,,300,-1,,,0.02,,
zenit_belomo_pk_as,Zenit BelOMO PK-AS Red Dot Sight,-2,0.17,,,,,,,,,1000,-5.4,,15.8,0.2254,,
,,,,,,,,,,,,,0,,,0.02,,
zenit_belomo_pk06,Zenit BelOMO PK-06 Kobra,-2.5,0.06,,,,,,,,,900,-3.7,,3.174657,0.061270541,,
priceli_narod_okp_7_picatinny,Priceli Narod OKP-7,-2,0.12,,,,,,,,,1000,-4.4,,8,0.124,,
pilad_p1x42,Pilad P1x42,-2.5,0.09,,,,,,,,,1000,-4.3,,5.60856,0.09291128,,
cobra_ekp_8_18,Cobra EKP 8 18,-2,0.19,,,,,,,,,800,-5.8,,13.4041,0.1942533,,
walther_mrs_red_dot_sight,Walther MRS Reflex,-6,0.07,,,,0.25,,,,,600,-8.65,,4,0.072,,
firefield_mg_kemper_xl_reflex_sight,Firefield MG Kemper XL Reflex,-7,0.19,,,,0.25,,,,,2000,-12.05,,9.6,0.1448,,
valday_1p87,Valday JSC optics PK-120 (1P87),-2,0.16,,,,,,,,,1000,-5.2,,10.5116,0.1566508,,
zenit_belomo_prc_red_dot,Zenit BelOMO PRC,-2,0.16,,,,,,,,,1200,-5.2,,10.93493,0.16215409,,
trijicon_srs02,Trijicon SRS-02,-2,0.16,,,,,,,,,1000,-5.2,,10.9,0.1617,,
holosun_hs401g5,Holosun HS401G5,-2.5,0.2,,,,,,,,,800,-6.5,,13.9,0.2007,,
aimpoint_electronic_g2_red_dot,Aimpoint Electronic G2,-2,0.17,,,,,,,,,500,-5.4,,,0.02,,
vortex_optics_razor_amg_uh1_gen1_sight,Vortex Optics Razor AMG UH-1 Gen I,-4,0.17,,,,,,,,,1600,-7.4,,11.6,0.1708,,
,,,,,,,,,,,,,0,,,0.02,,
trijicon_rm34_ac12036_mount,Trijcon RM34 AC12036 Mount,0,0.04,,,,,,,,,400,-0.8,,,0.02,,
trijicon_rm34_rmr_adapter,Trijicon RM34 RMR Adapter,0,0.02,,,,,,,,,200,-0.4,,,0.02,,
trijicon_compact_acog_ac12041_mount,Trijicon Compact ACOG AC12041 Mount w/ Q-LOC Technology,0,0.03,,,,,,,,,350,-0.6,,,0.02,,
primary_arms_slx_1.1inch_mount,"Primary Arms SLx 1.1"" Mount",0,0.03,,,,,,,,,200,-0.6,,,0.02,,
primary_arms_slx_1.53inch_straight_spacer,"Primary Arms SLx 1.53"" Riser",0,0.05,,,,,,,,,100,-1,,,0.02,,
trijicon_compact_acog_3x24_ta50c_red,Trijicon Compact ACOG 3x24 TA50-C Red Reticle Version,-3,0.1,,,,,,,,,1200,-5,,6.1,0.0993,,
trijicon_compact_acog_3x24_ta50c_red_alt,Trijicon Compact ACOG 3x24 TA50-C Red Reticle Version,-3,0.1,,,,,,,,,1200,-5,,,0.02,,
trijicon_compact_acog_3x24_ta50c_green,Trijicon Compact ACOG 3x24 TA50-C Red Reticle Version,-3,0.1,,,,,,,,,1500,-5,,,0.02,,
trijicon_compact_acog_3x24_ta50c_green_alt,Trijicon Compact ACOG 3x24 TA50-C Red Reticle Version,-3,0.1,,,,,,,,,1500,-5,,,0.02,,
primary_arms_slx_1x_microprism_acss_g2_scope,Primary Arms SLx 1x MicroPrism ACSS-G2,-1,0.08,,,,,,,,,1300,-2.6,,5.5,0.0915,,
,,,,,,,,,,,,,0,,,0.02,,
npz_1p78_kashtan_p1_picatinny_adapter,NPZ 1P78 Kashtan P-1 Picatinny Adapter,0,0.06,,,,,,,,,300,-1.2,,,0.02,,
npz_1p78_1_2.8x_kashtan_scope,NPZ 1P78-1 2.8X Kashtan,-3,0.19,,-1,,,,,,,1200,-6.2,,17.6,0.2488,,
,,,,,,,,,,,,,0,,,0.02,,
abom_cnc_works_picatinny_susat_adapter,Abom's CNC Works Picatinny SUSAT Adapter,0,0.06,,,,,,,,,300,-1.2,,,0.02,,
usi_l12a1_susat_combat_optic,"United Scientific Industries L12A1 ""SUSAT"" Combat Optic",-3,0.25,,-2,,,,,,,950,-6.8,,17.4606,0.2469878,,
,,,,,,,,,,,,,0,,,0.02,,
arms_no5_mount,A.R.M.S. #5 Multibase,0,0.06,,,,,,,,,400,-1.2,,,0.02,,
hensoldt_z24_fero_4x24,Hensoldt Z24 Fero 4x24mm,-3,0.16,,,,,,,,,750,-6.2,,10.5822,0.1575686,,
,,,,,,,,,,,,,0,,,0.02,,
arbalet_patriot_k_pu_20mm_picatinny_mount,Arbalet Patriot K-PU 20mm Picatinny Mount,0,0.06,,,,,,,,,400,-1.2,,,0.02,,
pu_3.5x_scope,PU 3.5x,-3.5,0.14,,,,,,,,,750,-6.3,,9.52397,0.14381161,,
vomz_pilad_p3.5x20c_scope,VOMZ Pilad P3.5x20 C,-3,0.16,,,,,,,,,800,-6.2,,,0.02,,
,,,,,,,,,,,,,0,,,0.02,,
trijicon_ta51_flattop_mount,Trijicon TA51 Thumbscrew Flattop ,0,0.06,,,,,,,,,400,-1.2,,4,0.072,,https://www.trijicon.com/uploads/product-uploads/product-downloads/2020_Trijicon_ACOG.pdf
burris_ar_prb_mount,Burris AR PRB Mount,0,0.06,,,,,,,,,400,-1.2,,,0.02,,
burris_prism_ar332,Burris Tactical Prism AR-332,-3,0.18,,-1,,,,,,,1000,-6,,16.6,0.2358,,
burris_prism_ar332_carry_handle,Burris Tactical Prism AR-332,-3,0.18,,-1,,,,,,,1000,-6,,,0.02,,
trijicon_acog_ta11d_bac,Trijicon Acog TA11D BAC,-3,0.2,,-2,,,,,,,1900,-5.8,,14,0.202,,
trijicon_acog_ta11d_bac_carry_handle,Trijicon Acog TA11D BAC,-3,0.2,,-2,,,,,,,1900,-5.8,,,0.02,,
trijicon_acog_ta01_4x_scope,Trijicon ACOG TA01 4x Scope,-3,0.16,,-1,,,,,,,1500,-5.6,,10.9,0.1617,,
trijicon_acog_ta01_4x_scope_carry_handle,Trijicon ACOG TA01 4x Scope,-3,0.16,,-1,,,,,,,1500,-5.6,,,0.02,,
trijicon_acog_ta31_comspec_4x_scope,Trijicon ACOG TA31 Comspec 4x Scope,-3,0.16,,-1,,,,,,,1800,-5.6,,10.5,0.1565,,
trijicon_acog_ta31_comspec_4x_scope_carry_handle,Trijicon ACOG TA31 Comspec 4x Scope,-3,0.16,,-1,,,,,,,1800,-5.6,,,0.02,,
trijicon_acog_ta31_milspec_4x_scope,Trijicon ACOG TA31 Milspec 4x Scope,-3,0.16,,-1,,,,,,,1600,-5.6,,,0.02,,
trijicon_acog_ta31_milspec_4x_scope_carry_handle,Trijicon ACOG TA31 Milspec 4x Scope,-3,0.16,,-1,,,,,,,1600,-5.6,,,0.02,,
,,,,,,,,,,,,,0,,,0.02,,
cosmic_tactical_saturn_scope_mount,Cosmic Tactical SATURN Scope Mount,,0.04,,,,,,,,,100,-0.8,,,0.02,,
cosmic_tactical_saturn_4x_red_scope,Cosmic Tactical SATURN 4x Red Fiber Scope,-3,0.2,,-1,,,,,,,1000,-6.4,,16.54,0.23502,,
cosmic_tactical_saturn_4x_green_scope,Cosmic Tactical SATURN 4x Green Fiber Scope,-3,0.2,,-1,,,,,,,1200,-6.4,,,0.02,,
,,,,,,,,,,,,,0,,,0.02,,
badger_ordnance_comm_30mm_mount_body,"Badger Ordnance C.O.M.M. 30mm 1.54"" Height",-0.5,0.06,,,,,,,,,1000,-1.7,,6.5,0.1045,,
badger_ordnance_comm_30mm_ring_half,Badger Ordnance C.O.M.M. 30mm Half Tube Ring,0,0.01,,,,,,,,,0,-0.2,,,0.02,,
badger_ordnance_c1_30mm_accessory_arc_ring_cap,Badger Ordnance Condition 1 30mm 12 O'Clock T1/T2 Optical Half Tube Plate,0,0.03,,,,,,,,,200,-0.6,,,0.02,,
badger_ordnance_c1_30mm_12oclock_rmr_mount_for_arc,Badger Ordnance Condition 1 30mm 12 O'Clock RMR Mount for ARC,0,0.02,,,,,,,,,200,-0.4,,,0.02,,
badger_ordnance_c1_30mm_12oclock_t1_optical_half_tube_plate,Badger Ordnance Condition 1 30mm 12 O'Clock T1/T2 Optical Half Tube Plate,0,0.03,,,,,,,,,200,-0.6,,,0.02,,
badger_ordnance_comm_j_arm_offset_mount,Badger Ordnance C.O.M.M. J-Arm Offset,0,0.01,,,,,,,,,200,-0.2,,,0.02,,
badger_ordnance_comm_trijicon_rmr_sight_mount,Badger Ordnance C.O.M.M. RMR Sight,0,0.02,,,,,,,,,300,-0.4,,,0.02,,
badger_ordnance_comm_aimpoint_t1_sight_mount,Badger Ordnance C.O.M.M. T1/T2 Sight,0,0.02,,,,,,,,,300,-0.4,,,0.02,,
burris_ar_pepr_30mm_mount,Burris AR-P.E.P.R.™,-1,0.11,,,,,,,,,800,-3.2,,8.7,0.1331,,
unity_fast_lpvo_30mm_mount,Unity FAST LPVO 30mm,-1.5,0.1,,,,,,,,,750,-3.5,,7.5,0.1175,,
vortex_optics_sport_cantilever_cm_102_30mm_2inch_offset,"Vortex Optics Sport Cantilever 30mm CM-102 2"" Offset",-1,0.09,,,,,,,,,500,-2.8,,6.7,0.1071,,
vortex_optics_sport_cantilever_cm_203_30mm_3inch_offset,"Vortex Optics Sport Cantilever 30mm CM-203 3"" Offset",-1,0.1,,,,,,,,,500,-3,,,0.02,,
eotech_vudu_1_6x24,EOTech Vudu 1-6x24,-5,0.27,,-2,,,,,,,4000,-9.2,,20.1,0.2813,,
,,,,,,,,,,,,,0,,,0.02,,
badger_ordnance_comm_34mm_mount_body,"Badger Ordnance C.O.M.M. 34mm 1.54"" Height",-0.5,0.07,,,,,,,,,1000,-1.9,,6.6,0.1058,,
badger_ordnance_comm_34mm_ring_half,Badger Ordnance C.O.M.M. 34mm Half Tube Ring,0,0.01,,,,,,,,,0,-0.2,,,0.02,,
badger_ordnance_c1_34mm_accessory_arc_ring_cap,Badger Ordnance Condition 1 34mm 12 O'Clock T1/T2 Optical Half Tube Plate,0,0.03,,,,,,,,,200,-0.6,,,0.02,,
badger_ordnance_c1_34mm_12oclock_t1_optical_half_tube_plate,Badger Ordnance Condition 1 34mm 12 O'Clock T1/T2 Optical Half Tube Plate,0,0.03,,,,,,,,,200,-0.6,,,0.02,,
khf_34mm_iea,KHF I-E-A 34mm,-1,0.11,,,,,,,,,500,-3.2,,7.0195184,0.111253739,,
nightforce_atacr7_35x56_f1,Nightforce ATACR 7-35x56 F1,-7,0.42,,-4,,,,,,,5000,-13,,39.3,0.5309,,
,,,,,,,,,,,,,,,,,,
monstrum_tactical_compact_scope_mount,Monstrum Tactical Compact Scope Mount,0,0.05,,,,,,,,,400,-1,,,0.02,,
monstrum_tactical_s232p_2x32_prism_scope,Monstrum Tactical Compact Prism Scope 2x32,-2,0.16,,,,,,,,,1000,-5.2,,15,0.215,,
,,,,,,,,,,,,,,,,,,
swampfox_trihawk_3x30_prism_scope,Swampfox Trihawk 3x30 Prism Scope,-2.5,0.22,,-1,,,,,,,1000,-6.3,,15.4,0.2202,,
ncstar_mark_3_tactical_gen2_3_9x42,NcStar Mark III Tactical Gen 2 3-9x42,-5,0.26,,-2,,,,,,,2000,-9,,17.3,0.2449,,
elcan_c79a2,ELCAN C79A2 3.4x,-3,0.33,,-3,,,,,,,3000,-7.8,,24.1627,0.3341151,,
elcan_specter_os4x_sfov4,ELCAN Specter OS4X Fixed-Magn. SFOV4,-3,0.24,,-2,,,,,,,3000,-6.6,,17.4,0.2462,,
elcan_specterdr_1_4x_dfov14_t1,ELCAN SpecterDR 1-4x DFOV14-T1,-3,0.28,,-1,,,,,,,4000,-8,,21.9,0.3047,,
sig_sauer_bravo4_4x30,SIG Sauer BRAVO4 4X30,-3,0.27,,-2,,,,,,,2000,-7.2,,19.3,0.2709,,
,,,,,,,,,,,,,0,,,0.02,,
colt_retro_a1_scope_carry_handle_mount,Colt Retro A1 Scope Carry Handle Mount,-2,0.05,,,,,,,,,300,,,,0.02,,
barska_4x20_scope_carry_handle_mount,Barska 4x20 Scope Carry Handle Mount,-2,0.05,,,,,,,,,300,,,,0.02,,
colt_retro_a1_4x21_scope,Colt Retro A1 4x21 Scope,-3,0.17,,,,,,,,,750,,,13.3,0.1929,,
barska_eletrco_4x20_bdc_scope,Barska Electro 4x20 BDC Turret Scope,-3,0.18,,,,,,,,,1000,,,13.28,0.19264,,
,,,,,,,,,,,,,,,,0.02,,
armasight_orion_3x_gen1_plus_nv_scope,Armasight Orion 3x Gen1+ Night Vision Scope,-8,0.36,,-3,,,,,,,3000,,,,0.02,,
,,,,,,,,,,,,,,,,0.02,,
ncstar_vism_gen2_carry_handle,NcStar VISM Gen2 Carry Handle,1,0.13,,,,,,,,,1000,,,12.1,0.1773,,
ncstar_vism_micro_green_dot_red_laser_vdgrlb,NcStar VISM Micro Green Dot w/ Red Laser VDGRLB,-3,0.06,,,,,,,,,700,,,,0.02,,
,,,,,,,,,,,,,,,,0.02,,
,,,,,,,,,,,,,,,,0.02,,
,,,,,,,,,,,,,,,,0.02,,
